Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.576 0.597 216.230 303.278 0.010 100.000 2.000 100.000 342.418 
0.576 0.597 303.278 407.621 0.010 100.000 3.000 100.000 473.930 
0.576 0.597 407.621 529.669 0.010 100.000 4.000 200.000 618.008 
0.576 0.597 529.669 668.721 0.010 100.000 5.000 300.000 773.787 
0.576 0.597 668.721 842.355 0.010 100.000 7.000 300.000 961.159 
0.576 0.597 842.355 1077.889 0.010 100.000 8.000 500.000 1245.929 
0.576 0.597 1077.889 1459.790 0.010 100.000 20.000 600.000 1613.197 
0.576 0.597 1459.790 2017.562 0.010 100.000 20.000 900.000 2277.127 
0.576 0.597 2017.562 2812.517 0.010 100.000 20.000 1000.000 3154.221 
0.576 0.597 2812.517 3848.488 0.010 100.000 30.000 1000.000 4314.556 
0.576 0.597 3848.488 4999.894 0.010 100.000 50.000 1000.000 5783.901 
0.597 0.623 2.016 17.091 0.010 14.384 1.000 8.000 15.103 
0.597 0.623 17.091 28.629 0.010 23.357 1.000 10.000 30.965 
0.597 0.623 28.629 41.181 0.010 37.927 1.000 10.000 45.881 
0.597 0.623 41.181 54.658 0.010 100.000 1.000 20.000 62.781 
0.597 0.623 54.658 69.598 0.010 100.000 1.000 30.000 79.293 
0.597 0.623 69.598 87.530 0.010 100.000 1.000 40.000 99.184 
0.597 0.623 87.530 113.603 0.010 100.000 1.000 50.000 128.765 
0.597 0.623 113.603 156.064 0.010 100.000 2.000 70.000 169.328 
0.597 0.623 156.064 215.776 0.010 100.000 2.000 80.000 240.042 
0.597 0.623 215.776 301.167 0.010 100.000 2.000 100.000 330.841 
0.597 0.623 301.167 406.565 0.010 100.000 3.000 100.000 458.437 
0.597 0.623 406.565 525.619 0.010 100.000 4.000 200.000 609.661 
0.597 0.623 525.619 661.810 0.010 100.000 6.000 300.000 763.618 
0.597 0.623 661.810 829.542 0.010 100.000 6.000 300.000 956.048 
