Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.614 0.655 16.211 23.117 0.070 14.384 1.000 10.000 23.183
0.614 0.655 23.150 32.102 0.070 8.859 2.000 10.000 30.581
0.614 0.655 32.116 48.948 0.043 8.859 3.000 20.000 45.218
0.614 0.655 49.063 86.976 0.043 37.927 3.000 40.000 58.202
0.614 0.655 87.583 217.442 0.043 8.859 6.000 100.000 145.515
0.614 0.655 218.061 307.693 0.070 8.859 20.000 100.000 306.677
0.614 0.655 308.195 378.591 0.070 8.859 30.000 200.000 353.735
0.613 0.655 378.777 451.063 0.070 8.859 30.000 200.000 428.002
0.614 0.655 451.181 533.182 0.043 8.859 40.000 200.000 578.818
0.613 0.655 533.618 626.555 0.070 14.384 40.000 300.000 694.306
